Filename,Calibration (px/mm)
Elu 006 (10) 24-Sep-24_17-37-43_00666xypts.csv,8.778711
Elu 006 (10) 24-Sep-24_17-39-54_00667xypts.csv,8.778711
Elu 006 (10) 24-Sep-24_17-43-08_00668xypts.csv,8.778711
Elu 006 (10) 24-Sep-24_17-48-57_00670xypts.csv,8.778711
Elu 007 (10) 24-Sep-24_18-07-55_00672xypts.csv,8.778711
Elu 007 (10) 24-Sep-24_18-09-38_00673xypts.csv,8.778711
Elu 007 (10) 24-Sep-24_18-11-00_00674xypts.csv,8.778711
Elu 007 (10) 24-Sep-24_18-15-00_00676xypts.csv,8.778711
Elu 007 (10) 24-Sep-24_18-16-19_00677xypts.csv,8.778711
Elu 007 (10) 24-Sep-24_18-18-33_00678xypts.csv,8.778711
Elu 007 (10) 24-Sep-24_18-20-47_00679xypts.csv,8.778711
Elu 007 (10) 24-Sep-24_18-23-36_00680xypts.csv,8.778711
Elu 007 (10) 24-Sep-24_18-27-22_00681xypts.csv,8.778711
Elu 002 (10) 01-Oct-24_17-57-31_00703xypts.csv,8.778711
Elu 002 (10) 01-Oct-24_18-02-52_00704xypts.csv,8.778711
Elu 002 (10) 01-Oct-24_18-05-40_00705xypts.csv,8.778711
Elu 002 (10) 01-Oct-24_18-09-25_00706xypts.csv,8.778711
Elu 002 (10) 01-Oct-24_18-11-27_00707xypts.csv,8.778711
Elu 002 (10) 01-Oct-24_18-14-09_00708xypts.csv,8.778711
Elu 002 (10) 01-Oct-24_18-17-31_00709xypts.csv,8.778711
Elu 003 (10) 01-Oct-24_19-13-58_00710xypts.csv,8.778711
Elu 003 (10) 01-Oct-24_19-19-46_00711xypts.csv,8.778711
Elu 003 (10) 01-Oct-24_19-22-32_00712xypts.csv,8.778711
Elu 002 (05) 08-Oct-24_18-10-30_00734xypts.csv,8.778711
Elu 002 (05) 08-Oct-24_18-14-31_00735xypts.csv,8.778711
Elu 002 (05) 08-Oct-24_18-17-48_00736xypts.csv,8.778711
Elu 002 (05) 08-Oct-24_18-21-39_00737xypts.csv,8.778711
Elu 002 (05) 08-Oct-24_18-27-17_00739xypts.csv,8.778711
Elu 003 (15) 09-Oct-24_17-25-21_00746xypts.csv,8.778711
Elu 003 (15) 09-Oct-24_17-28-08_00747xypts.csv,8.778711
Elu 003 (15) 09-Oct-24_17-29-47_00748xypts.csv,8.778711
Elu 003 (15) 09-Oct-24_17-32-08_00749xypts.csv,8.778711
Elu 003 (15) 09-Oct-24-17-36-22_00751xypts.csv,8.778711
Elu 007 (20) 14-Oct-24_17-54-41_00752xypts.csv,8.778711
Elu 007 (20) 14-Oct-24_17-56-17_00753xypts.csv,8.778711
Elu 007 (20) 14-Oct-24_17-58-14_00754xypts.csv,8.778711
Elu 007 (20) 14-Oct-24_18_02_34_00756xypts.csv,8.778711
Elu 007 (20) 14-Oct-24_18-00-19_00755xypts.csv,8.778711
Elu 007 (20) 14-Oct-24_18_02_34_00756xypts.csv,8.778711
Elu 002 (15) 15-Oct-24_17_44_52_00770xypts.csv,8.778711
Elu 002 (15) 15-Oct-24_17_44_52_00771xypts.csv,8.778711
Elu 002 (15) 15-Oct-24_17-51-08_00772xypts.csv,8.778711
Elu 002 (15) 15-OCT-24_17-57-46-00774xypts.csv,8.778711
Elu 002 (15) 15-Oct-24_18-00-15_00775xypts.csv,8.778711
Elu 003 (20) 15-Oct-24_18-53-41_00781xypts.csv,8.778711
Elu 003 (20) 15-Oct-24_18-59-02_00783xypts.csv,8.778711
Elu 003 (20) 15-Oct-24_19-01-15_00784xypts.csv,8.778711
Elu 004 (20) 15-Oct-24_19-16-59_00787xypts.csv,8.778711
Elu 004 (20) 15-Oct-24_19-20-34_00789xypts.csv,8.778711
Elu 004 (20) 15-Oct-24_19-25-03_00790xypts.csv,8.778711
Elu 004 (20) 15-Oct-24_19-29-33_00791xypts.csv,8.778711
Elu 007 (20) 23-Oct-24_17-27-55_00820xypts.csv,8.778711
Elu 003 (25) 29-Oct-24_19-06-36_00835xypts.csv,8.778711
Elu 003 (25) 29-Oct-24_19-12-30_00837xypts.csv,8.778711
Elu 003 (25) 29-Oct-24_19-16-53_00838xypts.csv,8.778711
Elu 006 (25) 30-Oct-24_18-02-48_00840xypts.csv,8.778711
Elu 006 (25) 30-Oct-24_18-05-05_00841xypts.csv,8.778711
Elu 006 (25) 30-Oct-24_18-09-41_00843xypts.csv,8.778711
Elu 002 (05) 05-Nov-24_19-06-55_00851xypts.csv,8.778711
Elu 006 (20) 06-Nov-24_18-20-01_00856xypts.csv,8.778711
Elu 007 (15) 18-Nov-24_18-42-44_00870xypts.csv,8.778711
Elu 007 (15) 18-Nov-24_18-48-35_00872xypts.csv,8.778711
Elu 007 (15) 18-Nov-24_18-59-30_00878xypts.csv,8.778711
Elu 007 (15) 18-Nov-24_19-01-17_00879xypts.csv,8.778711
Elu 007 (15) 18-Nov-24_18_46_26_00871xypts.csv,8.778711
Elu 003 (05) 19-Nov-24_20_34_00_00897xypts.csv,8.778711
Elu 003 (05) 19-Nov-24_20-36-49_00898xypts.csv,8.778711
Elu 003 (05) 19-Nov-24_20-39-29_00899xypts.csv,8.778711
Elu 003 (05) 19-Nov-24_20-40-42_00900xypts.csv,8.778711
Elu 003 (05) 19-Nov-24_20-43-56_00901xypts.csv,8.778711
Elu 004 (15) 19-Nov-24_20-07-32_00891xypts.csv,8.778711
Elu 004 (15) 19-Nov-24_20-09-54_00892xypts.csv,8.778711
Elu 004 (15) 19-Nov-24_20-12-48_00893xypts.csv,8.778711
Elu 004 (15) 19-Nov-24_20-15-10_00894xypts.csv,8.778711
Elu 004 (15) 19-Nov-24_20-17-42_00895xypts.csv,8.778711
Elu 002 (20) 20-Nov-24_18-27-36_00904xypts.csv,8.802178
Elu 002 (20) 20-Nov-24_18-30-58_00906xypts.csv,8.802178
Elu 006 (15) 20-Nov-24_18-48-03_00910xypts.csv,8.802178
Elu 006 (15) 20-Nov-24_18-49-58_00911xypts.csv,8.802178
Elu 006 (15) 20-Nov-24_18-57-08_00913xypts.csv,8.802178
Elu 002 (05) 03-Dec-24_18-53-49_00914xypts.csv,8.816622
Elu 002 (05) 03-Dec-24_18-58-12_00915xypts.csv,8.816622
Elu 002 (05) 03-Dec-24_18-59-58_00916xypts.csv,8.816622
Elu 002 (05) 03-Dec-24_19-08-10_00918xypts.csv,8.816622
Elu 006 (05) 03-Dec-24_19-46-59_00921xypts.csv,8.816622
Elu 006 (05) 03-Dec-24_19-50-31_00922xypts.csv,8.816622
Elu 006 (05) 03-Dec-24_19-52-57_00923xypts.csv,8.816622
Elu 006 (05) 03-Dec-24_20-03-16_00925xypts.csv,8.816622
Elu 004 (25) 10-Dec-24_19-32-01_00949xypts.csv,8.701869
Elu 004 (25) 10-Dec-24_19-34-09_00950xypts.csv,8.701869
Elu 003 (20) 21-Feb-25_19-14-53_01044xypts.csv,7.679162
Elu 002 (25) 25-Feb-25_18_33_19_01067xypts.csv,7.787743
Elu 002 (25) 25-Feb-25_18-37-37_01068xypts.csv,7.787743
Elu 002 (25) 25-Feb-25_18-42-36_01069xypts.csv,7.787743
Elu 002 (25) 25-Feb-25_18-57-33_01071xypts.csv,7.787743
Elu 006 (05) 26-Feb-25_19-26-10_01102xypts.csv,8.063032
Elu 002 (20) 03-Mar-25_18-06-29_01116xypts.csv,8.105379
Elu 002 (20) 03-Mar-25_18-47-43_01117xypts.csv,8.105379
Elu 006 (10) 03-Mar-25_23-54-01_01129xypts.csv,8.105379
Elu 006 (10) 03-Mar-25_23-56-17_01130xypts.csv,8.105379
Elu 006 (10) 03-Mar-25_23-59-00_01131xypts.csv,8.105379
Elu 006 (10) 04-Mar-25_00-03-28_01132xypts.csv,8.043177
Elu 006 (10) 04-Mar-25_00-05-58_01133xypts.csv,8.043177
Elu 003 (25) 07-Mar-25_19-12-32_01177xypts.csv,6.336672
Elu 003 (25) 07-Mar-25_19-17-40_01179xypts.csv,6.336672
Elu 003 (25) 07-Mar-25_19-19-44_01180xypts.csv,6.336672
Elu 003 (25) 07-Mar-25_19-22-34_01181xypts.csv,6.336672
Elu 002 (20) 10-Mar-25_22-33-33_01199xypts.csv,6.582318
Elu 002 (20) 10-Mar-25_22-37-24_01200xypts.csv,6.582318
Elu 002 (20) 10-Mar-25_22-49-26_01201xypts.csv,6.582318
Elu 006 (20) 10-Mar-25_17-16-32_01189xypts.csv,6.582318
Elu 006 (20) 10-Mar-25_17-19-59_01190xypts.csv,6.582318
