filename,Calibration (px/mm)
Pm 001 (20) 08-Jul-24_18_17_06_00391xypts.csv,8.778711
Pm 001 (20) 08-Jul-24_18-22-07_00393xypts.csv,8.778711
Pm 001 (20) 08-Jul-24_18-26-04_00394xypts.csv,8.778711
Pm 001 (20) 08-Jul-24_18-19-48_00392xypts.csv,8.778711
Pm 002 (20) 08-Jul-24_18-29-58_00395xypts.csv,8.778711
Pm 002 (20) 08-Jul-24_18-42-43_00397xypts.csv,8.778711
Pm 002 (20) 08-Jul-24_18-45-02_00398xypts.csv,8.778711
Pm 002 (20) 08-Jul-24_18-47-47_00399xypts.csv,8.778711
Pm 003 (20) 08-Jul-24_18_51_44_00400xypts.csv,8.778711
Pm 003 (20) 08-Jul-24_18-57-33_00401xypts.csv,8.778711
Pm 004 (20) 08-Jul-24_19-15-35_00406xypts.csv,8.778711
Pm 004 (20) 08-Jul-24_19-19-01_00407xypts.csv,8.778711
Pm 004 (20) 08-Jul-24_19-21-57_00405xypts.csv,8.778711
Pm 004 (20) 08-Jul-24_19-21-57_00408xypts.csv,8.778711
Pm 004 (20) 08-Jul-24_19-24-04_00409xypts.csv,8.778711
Pm 005 (20) 08-Jul-24_19-26-16_00410xypts.csv,8.778711
Pm 005 (20) 08-Jul-24_19-35-34_00413xypts.csv,8.778711
Pm 006 (20) 10-Jul-24_17_29_44_00418xypts.csv,8.778711
Pm 006 (20) 10-Jul-24_17_33_01_00419xypts.csv,8.778711
Pm 006 (20) 10-Jul-24_17-20-18_00416xypts.csv,8.778711
Pm 006 (20) 10-Jul-24_17-27-01_00417xypts.csv,8.778711
Pm 006 (20) 10-Jul-24_17-35-29_00420xypts.csv,8.778711
Pm 001 (15) 15-Jul-24_17-41-32_00447xypts.csv,8.778711
Pm 001 (15) 15-Jul-24_17-48-35_00450xypts.csv,8.778711
Pm 002 (15) 15-Jul-24_17-52-32_00452xypts.csv,8.778711
Pm 002 (15) 15-Jul-24_18-01-02_00454xypts.csv,8.778711
Pm 002 (15) 15-Jul-24_18-03-12_00455xypts.csv,8.778711
Pm 002 (15) 15-Jul-24_18-07-04_00456xypts.csv,8.778711
Pm 002 (15) 15-Jul-24_18-09-00_00457xypts.csv,8.778711
Pm 003 (15) 15-Jul-24_18-33-01_00462xypts.csv,8.778711
Pm 003 (15) 15-Jul-24_18-36-44_00463xypts.csv,8.778711
Pm 004 (15) 15-Jul-24_18_54_16_00468xypts.csv,8.778711
Pm 004 (15) 15-Jul-24_18-52-34_00467xypts.csv,8.778711
Pm 004 (15) 15-Jul-24_18-57-11_00469xypts.csv,8.778711
Pm 004 (15) 15-Jul-24_18-50-44_00466xypts.csv,8.778711
Pm 005 (15) 15-Jul-24_18-57-11_00469xypts.csv,8.778711
Pm 005 (15) 15-Jul-24_19-15-29_00472xypts.csv,8.778711
Pm 006 (25) 15-Jul-24_19_38_59_00479xypts.csv,8.778711
Pm 006 (25) 15-Jul-24_19-30-32_00476xypts.csv,8.778711
Pm 006 (25) 15-Jul-24_19-43-02_00481xypts.csv,8.778711
Pm 001 (25) 22-Jul-24_18_06_51_00513xypts.csv,8.778711
Pm 001 (25) 22-Jul-24_18_08_37_00514xypts.csv,8.778711
Pm 001 (25) 22-Jul-24_18-02-55_00511xypts.csv,8.778711
Pm 001 (25) 22-Jul-24_18-04-47_00512xypts.csv,8.778711
Pm 001 (25) 22-Jul-24_18-08-37_00514xypts.csv,8.778711
Pm 001 (25) 22-Jul-24_18-10-09_00515xypts.csv,8.778711
Pm 002 (25) 22-Jul-24_18-22-58_00517xypts.csv,8.778711
Pm 002 (25) 22-Jul-24_18-28-13_00519xypts.csv,8.778711
Pm 002 (25) 22-Jul-24_18-30-51_00520xypts.csv,8.778711
Pm 002 (25) 22-Jul-24_18-33-15_00521xypts.csv,8.778711
Pm 002 (25) 22-Jul-24_18-40-18_00523xypts.csv,8.778711
Pm 003 (25) 22-Jul-24_18-51-09_00525xypts.csv,8.778711
Pm 003 (25) 22-Jul-24_18-54-43_00527xypts.csv,8.778711
Pm 004 (25) 22-Jul-24_19_07_13_00529xypts.csv,8.778711
Pm 004 (25) 22-Jul-24_19-09-04_00530xypts.csv,8.778711
Pm 004 (25) 22-Jul-24_19-10-30_00531xypts.csv,8.778711
Pm 004 (25) 22-Jul-24_19-12-21_00532xypts.csv,8.778711
Pm 005 (25) 22-Jul-24_19-21-03_00534xypts.csv,8.778711
Pm 005 (25) 22-Jul-24_19-22-39_00535xypts.csv,8.778711
Pm 005 (25) 22-Jul-24_19-24-29_00536xypts.csv,8.778711
Pm 005 (25) 22-Jul-24_19-26-22_00537xypts.csv,8.778711
Pm 005 (25) 22-Jul-24_19-28-35_00538xypts.csv,8.778711
Pm 005 (05) 30-Jul-24_17-53-27_00558xypts.csv,8.778711
Pm 005 (05) 30-Jul-24_17-57-18_00559xypts.csv,8.778711
Pm 005 (05) 30-Jul-24_17-59-33_00560xypts.csv,8.778711
Pm 001 (05) 06-Aug-24_17-28-16_00573xypts.csv,8.778711
Pm 001 (05) 06-Aug-24_17-32-05_00574xypts.csv,8.778711
Pm 001 (05) 06-Aug-24_17-37-27_00575xypts.csv,8.778711
Pm 001 (05) 06-Aug-24_17-50-28_00577xypts.csv,8.778711
pm 005 (05) 06-Aug-24_18-23-22_00582xypts.csv,8.778711
Pm 002 (10) 07-Aug-24_17-29-20_00593xypts.csv,8.778711
Pm 002 (10) 07-Aug-24_17-33-31_00594xypts.csv,8.778711
Pm 002 (10) 07-Aug-24_17-36-09_00595xypts.csv,8.778711
Pm 002 (10) 07-Aug-24_17-38-23_00596xypts.csv,8.778711
Pm 002 (10) 07-Aug-24_17-41-29_00597xypts.csv,8.778711
Pm 003 (10) 07-Aug-24_17-55-05_00598xypts.csv,8.778711
Pm 003 (10) 07-Aug-24_17-57-14_00599xypts.csv,8.778711
Pm 003 (10) 07-Aug-24_18_03_02_00601xypts.csv,8.778711
Pm 003 (10) 07-Aug-24_18_05_13_00602xypts.csv,8.778711
Pm 004 (10) 07-Aug-24_18-19-00_00603xypts.csv,8.778711
Pm 004 (10) 07-Aug-24_18-25-36_00604xypts.csv,8.778711
Pm 004 (10) 07-Aug-24_18-41-11_00605xypts.csv,8.778711
Pm 004 (10) 07-Aug-24_18-42-54_00606xypts.csv,8.778711
Pm 006 (10) 07-Aug-24_18-55-29_00608xypts.csv,8.778711
Pm 006 (10) 07-Aug-24_18-58-30_00609xypts.csv,8.778711
