filename,species,individual,Name,temperature,date,preystartdist,timeprojstart,maxproj,timemaxproj,peakprojvel,timemaxprojvel,peakprojacc,timemaxprojacc,peakmmsprojpower,timemaxprojpower,maxlunge,timemaxlunge,peaklungevel,timemaxlungevel,peaklungeacc,timemmaxlungeacc,peakbmslungepower,timemaxlungepower,maxreach,timemaxreach,tonguestartdist
Pm 001 (05) 06-Aug-24_17-28-16_00573xypts.csv,Pm,1,Pm1,5,6-Aug-24,12.20503145,0.208333333,6.759706369,0.278,0.278,0.223333333,408,0.208666667,12.1846206,0.210333333,8.567172068,0.270666667,0.067,0.256666667,5.85,0.178666667,0.27825,0.252,15.29443511,0.271666667,10.14169013
Pm 001 (05) 06-Aug-24_17-32-05_00574xypts.csv,Pm,1,Pm1,5,6-Aug-24,14.58437247,0.102333333,6.674125042,0.187333333,0.321,0.129666667,474,0.102666667,19.363962,0.103333333,11.38373215,0.184666667,0.0759,0.119,7.35,0.112333333,0.387192,0.114333333,18.04553093,0.187333333,12.19491352
Pm 001 (05) 06-Aug-24_17-37-27_00575xypts.csv,Pm,1,Pm1,5,6-Aug-24,7.820487634,0.078666667,5.439538195,0.154666667,0.306,0.082,489,0.079,21.222078,0.080666667,7.184885673,0.178333333,0.0301,0.129666667,1.347,0.050333333,0.0178605,0.052666667,12.15653864,0.156,6.293591662
Pm 001 (05) 06-Aug-24_17-50-28_00577xypts.csv,Pm,1,Pm1,5,6-Aug-24,12.72840164,0.058333333,6.835609682,0.126333333,0.181,0.061,354,0.058666667,7.9986243,0.059,6.526516726,0.169,0.0283,0.093333333,1.137,0.065,0.016956,0.066666667,12.43384705,0.139,11.66244875
Pm 001 (10) 23-Sep-24_18_27_21_00658xypts.csv,Pm,1,Pm1,10,23-Sep-24,11.59253565,0.161,6.413231792,0.238333333,0.183,0.163,327,0.161333333,14.000688,0.194333333,8.164393519,0.231,0.0437,0.187333333,1.38,0.173666667,0.0473124,0.176,14.53390397,0.238333333,8.627456103
Pm 001 (10) 23-Sep-24_18-24-26_00657xypts.csv,Pm,1,Pm1,10,23-Sep-24,8.149051182,0.275333333,6.584563296,0.349333333,0.24,0.277,240.9,0.275666667,12.8120256,0.275666667,4.802009331,0.359333333,0.0424,0.330666667,3.66,0.293333333,0.062604,0.325666667,11.21242544,0.349666667,8.286495648
Pm 001 (10) 23-Sep-24_18-30-02_00659xypts.csv,Pm,1,Pm1,10,23-Sep-24,9.423366842,0.137,5.845027635,0.216666667,0.224,0.141333333,259.8,0.147666667,9.5889921,0.14,8.949764274,0.223333333,0.049,0.190333333,1.533,0.253666667,0.0522732,0.231333333,14.76503146,0.216666667,7.209651704
Pm 001 (10) 23-Sep-24_18-32-16_00660xypts.csv,Pm,1,Pm1,10,23-Sep-24,15.04898955,0.091666667,6.970664056,0.17,0.224,0.093,384,0.092,17.01888,0.092,17.49285508,0.213333333,0.0991,0.155,6.54,0.115666667,0.295665,0.148666667,22.38623617,0.201333333,14.6123272
Pm 001 (15) 14-Oct-24_18-58-21_00762xypts.csv,Pm,1,Pm1,15,14-Oct-24,19.32327598,0.046666667,6.968426441,0.101,0.22,0.078333333,235.2,0.047,8.0538858,0.077,13.00343509,0.105333333,0.0731,0.070333333,2.112,0.021666667,0.086496,0.064333333,19.93863622,0.101666667,15.4739171
Pm 001 (15) 14-Oct-24_19-03-31_00764xypts.csv,Pm,1,Pm1,15,14-Oct-24,17.62164118,0.175333333,7.236027327,0.239666667,0.235,0.179666667,278.7,0.177666667,11.383038,0.178333333,9.35123754,0.243333333,0.0468,0.199,2.514,0.281666667,0.04029,0.192,16.56184935,0.24,14.5885598
Pm 001 (15) 14-Oct-24_19-10-57_00766xypts.csv,Pm,1,Pm1,15,14-Oct-24,15.27575467,0.102666667,6.506608908,0.152666667,0.267,0.107,378,0.103666667,14.0567805,0.105,10.74498986,0.154,0.072,0.123333333,2.13,0.182666667,0.114432,0.116333333,17.24875733,0.153,11.49562183
