pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,257.801586,277.597884,NaN,NaN
NaN,NaN,257.980000,278.030000,NaN,NaN
NaN,NaN,258.040000,278.020000,NaN,NaN
NaN,NaN,258.010000,278.010000,NaN,NaN
NaN,NaN,258.010000,278.000000,NaN,NaN
NaN,NaN,258.000000,278.010000,NaN,NaN
NaN,NaN,258.050000,277.990000,NaN,NaN
NaN,NaN,258.000000,278.010000,NaN,NaN
NaN,NaN,258.050000,278.000000,NaN,NaN
NaN,NaN,258.060000,278.030000,NaN,NaN
NaN,NaN,258.040000,278.000000,NaN,NaN
NaN,NaN,258.020000,278.000000,NaN,NaN
NaN,NaN,258.000000,278.000000,NaN,NaN
NaN,NaN,258.020000,277.990000,NaN,NaN
NaN,NaN,258.020000,278.000000,NaN,NaN
NaN,NaN,258.020000,278.000000,NaN,NaN
NaN,NaN,258.030000,278.010000,NaN,NaN
NaN,NaN,258.000000,278.010000,NaN,NaN
NaN,NaN,258.020000,278.030000,NaN,NaN
NaN,NaN,258.030000,278.000000,NaN,NaN
NaN,NaN,258.020000,278.010000,NaN,NaN
NaN,NaN,258.010000,277.980000,NaN,NaN
NaN,NaN,257.990000,278.020000,NaN,NaN
NaN,NaN,257.980000,278.010000,NaN,NaN
NaN,NaN,258.000000,278.010000,NaN,NaN
NaN,NaN,258.000000,278.000000,NaN,NaN
NaN,NaN,258.010000,277.990000,NaN,NaN
NaN,NaN,258.010000,278.000000,NaN,NaN
NaN,NaN,258.010000,278.000000,NaN,NaN
NaN,NaN,257.990000,278.000000,NaN,NaN
NaN,NaN,258.020000,278.000000,NaN,NaN
NaN,NaN,258.030000,278.000000,NaN,NaN
NaN,NaN,258.010000,278.010000,NaN,NaN
NaN,NaN,258.010000,278.020000,NaN,NaN
NaN,NaN,258.020000,278.000000,NaN,NaN
NaN,NaN,258.000000,277.980000,NaN,NaN
NaN,NaN,258.040000,278.010000,NaN,NaN
NaN,NaN,258.000000,278.000000,NaN,NaN
NaN,NaN,257.990000,278.010000,NaN,NaN
NaN,NaN,258.010000,278.000000,NaN,NaN
NaN,NaN,257.960000,277.990000,NaN,NaN
NaN,NaN,257.950000,278.010000,NaN,NaN
NaN,NaN,257.960000,277.980000,NaN,NaN
NaN,NaN,258.000000,277.980000,NaN,NaN
NaN,NaN,258.020000,278.020000,NaN,NaN
NaN,NaN,258.020000,278.010000,NaN,NaN
NaN,NaN,258.040000,278.020000,NaN,NaN
NaN,NaN,258.030000,278.020000,NaN,NaN
NaN,NaN,258.010000,278.010000,NaN,NaN
NaN,NaN,258.010000,278.020000,NaN,NaN
NaN,NaN,258.040000,278.060000,NaN,NaN
NaN,NaN,258.040000,278.020000,NaN,NaN
NaN,NaN,258.040000,278.010000,NaN,NaN
NaN,NaN,258.030000,277.990000,NaN,NaN
NaN,NaN,258.050000,278.010000,NaN,NaN
NaN,NaN,258.020000,278.020000,NaN,NaN
NaN,NaN,258.000000,278.010000,NaN,NaN
NaN,NaN,258.000000,278.000000,NaN,NaN
NaN,NaN,258.010000,278.000000,NaN,NaN
NaN,NaN,258.030000,278.020000,NaN,NaN
NaN,NaN,258.050000,278.000000,NaN,NaN
NaN,NaN,258.030000,278.030000,NaN,NaN
NaN,NaN,258.040000,278.020000,NaN,NaN
NaN,NaN,258.020000,278.030000,NaN,NaN
NaN,NaN,258.030000,278.030000,NaN,NaN
NaN,NaN,258.040000,278.020000,NaN,NaN
NaN,NaN,258.040000,278.020000,NaN,NaN
NaN,NaN,258.020000,278.020000,NaN,NaN
NaN,NaN,258.040000,278.000000,NaN,NaN
NaN,NaN,258.030000,277.990000,NaN,NaN
NaN,NaN,258.000000,278.010000,NaN,NaN
NaN,NaN,258.020000,278.010000,NaN,NaN
NaN,NaN,258.060000,278.020000,NaN,NaN
NaN,NaN,258.050000,278.010000,NaN,NaN
NaN,NaN,258.050000,278.000000,NaN,NaN
NaN,NaN,258.030000,278.000000,NaN,NaN
NaN,NaN,258.040000,278.000000,NaN,NaN
