pt1_cam1_U,pt1_cam1_V,pt2_cam1_U,pt2_cam1_V,pt3_cam1_U,pt3_cam1_V
NaN,NaN,NaN,NaN,653.426868,28.284192
NaN,NaN,NaN,NaN,653.000000,27.990000
NaN,NaN,NaN,NaN,653.000000,27.990000
NaN,NaN,NaN,NaN,653.000000,27.980000
NaN,NaN,NaN,NaN,653.000000,27.970000
NaN,NaN,NaN,NaN,653.000000,27.990000
NaN,NaN,NaN,NaN,653.000000,27.980000
NaN,NaN,NaN,NaN,652.980000,27.980000
NaN,NaN,NaN,NaN,652.990000,27.990000
NaN,NaN,NaN,NaN,652.990000,27.970000
NaN,NaN,NaN,NaN,652.980000,27.970000
NaN,NaN,NaN,NaN,652.980000,27.970000
NaN,NaN,NaN,NaN,653.000000,27.980000
NaN,NaN,NaN,NaN,652.990000,27.980000
NaN,NaN,NaN,NaN,653.010000,27.970000
NaN,NaN,NaN,NaN,653.000000,27.990000
NaN,NaN,NaN,NaN,652.990000,27.980000
NaN,NaN,NaN,NaN,653.000000,27.980000
NaN,NaN,NaN,NaN,653.000000,27.980000
NaN,NaN,NaN,NaN,653.010000,27.990000
NaN,NaN,NaN,NaN,653.010000,27.990000
NaN,NaN,NaN,NaN,653.010000,27.990000
NaN,NaN,NaN,NaN,653.010000,27.970000
NaN,NaN,NaN,NaN,653.020000,27.970000
NaN,NaN,NaN,NaN,653.010000,27.960000
NaN,NaN,NaN,NaN,653.010000,27.960000
NaN,NaN,NaN,NaN,653.020000,27.970000
NaN,NaN,NaN,NaN,653.020000,27.970000
NaN,NaN,NaN,NaN,653.010000,27.980000
NaN,NaN,NaN,NaN,653.010000,27.970000
NaN,NaN,NaN,NaN,653.010000,27.970000
NaN,NaN,NaN,NaN,652.990000,27.970000
NaN,NaN,NaN,NaN,653.000000,27.950000
NaN,NaN,NaN,NaN,652.990000,27.960000
NaN,NaN,NaN,NaN,652.980000,27.960000
NaN,NaN,NaN,NaN,652.990000,27.950000
NaN,NaN,NaN,NaN,652.990000,27.960000
NaN,NaN,NaN,NaN,653.000000,27.970000
NaN,NaN,NaN,NaN,653.000000,27.970000
NaN,NaN,NaN,NaN,652.990000,27.970000
NaN,NaN,NaN,NaN,652.990000,27.980000
NaN,NaN,NaN,NaN,653.000000,27.970000
NaN,NaN,NaN,NaN,652.990000,27.960000
NaN,NaN,NaN,NaN,653.000000,27.960000
NaN,NaN,NaN,NaN,652.990000,27.950000
NaN,NaN,NaN,NaN,653.010000,27.950000
NaN,NaN,NaN,NaN,652.980000,27.950000
NaN,NaN,NaN,NaN,652.970000,27.960000
NaN,NaN,NaN,NaN,653.000000,27.960000
NaN,NaN,NaN,NaN,653.000000,27.960000
NaN,NaN,NaN,NaN,652.990000,27.960000
NaN,NaN,NaN,NaN,653.000000,27.950000
NaN,NaN,NaN,NaN,652.990000,27.950000
NaN,NaN,NaN,NaN,652.980000,27.940000
NaN,NaN,NaN,NaN,653.000000,27.950000
NaN,NaN,NaN,NaN,653.000000,27.950000
NaN,NaN,NaN,NaN,653.000000,27.940000
NaN,NaN,NaN,NaN,652.980000,27.940000
NaN,NaN,NaN,NaN,653.000000,27.950000
NaN,NaN,NaN,NaN,652.990000,27.950000
NaN,NaN,NaN,NaN,653.030000,27.940000
NaN,NaN,NaN,NaN,653.040000,27.950000
NaN,NaN,NaN,NaN,653.040000,27.930000
NaN,NaN,NaN,NaN,653.000000,27.930000
NaN,NaN,NaN,NaN,653.010000,27.950000
NaN,NaN,NaN,NaN,653.010000,27.930000
NaN,NaN,NaN,NaN,653.020000,27.930000
NaN,NaN,NaN,NaN,653.010000,27.920000
