pt1_cam1_U,pt1_cam1_V,pt2_cam1_U,pt2_cam1_V,pt3_cam1_U,pt3_cam1_V
NaN,NaN,903.428573,529.125395,NaN,NaN
NaN,NaN,903.020000,529.030000,NaN,NaN
NaN,NaN,903.010000,529.020000,NaN,NaN
NaN,NaN,903.010000,529.020000,NaN,NaN
NaN,NaN,903.020000,529.010000,NaN,NaN
NaN,NaN,903.020000,529.020000,NaN,NaN
NaN,NaN,903.030000,529.010000,NaN,NaN
NaN,NaN,903.040000,529.010000,NaN,NaN
NaN,NaN,903.030000,529.020000,NaN,NaN
NaN,NaN,903.030000,529.020000,NaN,NaN
NaN,NaN,903.030000,529.020000,NaN,NaN
NaN,NaN,903.030000,529.020000,NaN,NaN
NaN,NaN,903.030000,529.010000,NaN,NaN
NaN,NaN,903.030000,529.010000,NaN,NaN
NaN,NaN,903.020000,529.010000,NaN,NaN
NaN,NaN,903.040000,529.040000,NaN,NaN
NaN,NaN,903.040000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.030000,NaN,NaN
NaN,NaN,903.050000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.040000,NaN,NaN
NaN,NaN,903.050000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.020000,NaN,NaN
NaN,NaN,903.040000,529.010000,NaN,NaN
NaN,NaN,903.040000,529.010000,NaN,NaN
NaN,NaN,903.040000,529.010000,NaN,NaN
NaN,NaN,903.040000,529.010000,NaN,NaN
NaN,NaN,903.040000,529.020000,NaN,NaN
NaN,NaN,903.030000,529.010000,NaN,NaN
NaN,NaN,903.040000,529.020000,NaN,NaN
NaN,NaN,903.040000,529.020000,NaN,NaN
NaN,NaN,903.050000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.020000,NaN,NaN
NaN,NaN,903.040000,529.020000,NaN,NaN
NaN,NaN,903.040000,529.020000,NaN,NaN
NaN,NaN,903.040000,529.020000,NaN,NaN
NaN,NaN,903.040000,529.020000,NaN,NaN
NaN,NaN,903.040000,529.020000,NaN,NaN
NaN,NaN,903.040000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.020000,NaN,NaN
NaN,NaN,903.050000,529.030000,NaN,NaN
NaN,NaN,903.050000,529.030000,NaN,NaN
NaN,NaN,903.050000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.040000,NaN,NaN
NaN,NaN,903.040000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.030000,NaN,NaN
NaN,NaN,903.050000,529.040000,NaN,NaN
NaN,NaN,903.050000,529.040000,NaN,NaN
NaN,NaN,903.050000,529.040000,NaN,NaN
NaN,NaN,903.050000,529.040000,NaN,NaN
NaN,NaN,903.050000,529.040000,NaN,NaN
NaN,NaN,903.050000,529.030000,NaN,NaN
NaN,NaN,903.050000,529.030000,NaN,NaN
NaN,NaN,903.050000,529.030000,NaN,NaN
NaN,NaN,903.050000,529.030000,NaN,NaN
NaN,NaN,903.040000,529.050000,NaN,NaN
NaN,NaN,903.050000,529.040000,NaN,NaN
NaN,NaN,903.040000,529.050000,NaN,NaN
NaN,NaN,903.050000,529.040000,NaN,NaN
NaN,NaN,903.050000,529.050000,NaN,NaN
NaN,NaN,903.050000,529.050000,NaN,NaN
NaN,NaN,903.050000,529.040000,NaN,NaN
NaN,NaN,903.050000,529.040000,NaN,NaN
NaN,NaN,903.050000,529.040000,NaN,NaN
NaN,NaN,903.060000,529.050000,NaN,NaN
NaN,NaN,903.060000,529.050000,NaN,NaN
NaN,NaN,903.050000,529.050000,NaN,NaN
NaN,NaN,903.050000,529.040000,NaN,NaN
NaN,NaN,903.040000,529.050000,NaN,NaN
NaN,NaN,903.040000,529.040000,NaN,NaN
NaN,NaN,903.030000,529.050000,NaN,NaN
NaN,NaN,903.040000,529.050000,NaN,NaN
NaN,NaN,903.050000,529.050000,NaN,NaN
NaN,NaN,903.040000,529.050000,NaN,NaN
NaN,NaN,903.050000,529.050000,NaN,NaN
NaN,NaN,903.050000,529.050000,NaN,NaN
NaN,NaN,903.050000,529.060000,NaN,NaN
NaN,NaN,903.050000,529.060000,NaN,NaN
NaN,NaN,903.050000,529.060000,NaN,NaN
NaN,NaN,903.050000,529.050000,NaN,NaN
NaN,NaN,903.030000,529.060000,NaN,NaN
NaN,NaN,903.040000,529.060000,NaN,NaN
NaN,NaN,903.040000,529.060000,NaN,NaN
NaN,NaN,903.040000,529.060000,NaN,NaN
NaN,NaN,903.030000,529.070000,NaN,NaN
NaN,NaN,903.020000,529.070000,NaN,NaN
NaN,NaN,903.030000,529.070000,NaN,NaN
NaN,NaN,903.030000,529.080000,NaN,NaN
NaN,NaN,903.020000,529.080000,NaN,NaN
NaN,NaN,903.020000,529.070000,NaN,NaN
NaN,NaN,903.030000,529.070000,NaN,NaN
NaN,NaN,903.020000,529.080000,NaN,NaN
NaN,NaN,903.020000,529.080000,NaN,NaN
NaN,NaN,903.020000,529.070000,NaN,NaN
NaN,NaN,903.020000,529.080000,NaN,NaN
NaN,NaN,903.020000,529.070000,NaN,NaN
NaN,NaN,903.020000,529.070000,NaN,NaN
NaN,NaN,903.020000,529.080000,NaN,NaN
NaN,NaN,903.020000,529.090000,NaN,NaN
NaN,NaN,903.030000,529.090000,NaN,NaN
NaN,NaN,903.000000,529.100000,NaN,NaN
NaN,NaN,903.000000,529.100000,NaN,NaN
NaN,NaN,903.000000,529.090000,NaN,NaN
NaN,NaN,903.000000,529.090000,NaN,NaN
NaN,NaN,903.010000,529.100000,NaN,NaN
NaN,NaN,903.020000,529.100000,NaN,NaN
NaN,NaN,903.010000,529.100000,NaN,NaN
NaN,NaN,903.010000,529.100000,NaN,NaN
NaN,NaN,903.000000,529.090000,NaN,NaN
NaN,NaN,903.010000,529.100000,NaN,NaN
NaN,NaN,903.010000,529.090000,NaN,NaN
NaN,NaN,903.000000,529.100000,NaN,NaN
