pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,264.875469,224.029582,NaN,NaN
NaN,NaN,265.030000,224.080000,NaN,NaN
NaN,NaN,265.070000,224.070000,NaN,NaN
NaN,NaN,265.020000,223.980000,231.985599,102.195093
NaN,NaN,265.000000,223.990000,231.980000,101.990000
NaN,NaN,265.040000,224.050000,232.020000,101.980000
NaN,NaN,265.000000,224.010000,232.010000,101.990000
NaN,NaN,265.000000,224.000000,231.990000,102.010000
NaN,NaN,265.020000,224.120000,232.000000,102.010000
NaN,NaN,265.060000,224.060000,231.990000,101.990000
NaN,NaN,265.100000,224.030000,231.990000,102.010000
NaN,NaN,265.010000,223.940000,232.000000,102.000000
NaN,NaN,264.990000,223.990000,232.000000,102.010000
NaN,NaN,265.090000,223.940000,232.000000,102.010000
NaN,NaN,265.060000,223.950000,232.020000,101.990000
NaN,NaN,265.050000,223.940000,232.010000,102.010000
NaN,NaN,264.970000,223.970000,232.010000,102.020000
NaN,NaN,265.030000,223.980000,232.000000,102.010000
NaN,NaN,265.040000,223.970000,232.020000,102.020000
NaN,NaN,265.060000,223.900000,231.990000,102.040000
NaN,NaN,265.050000,223.940000,232.020000,102.020000
NaN,NaN,264.970000,223.990000,232.040000,102.020000
NaN,NaN,264.970000,224.000000,232.030000,102.030000
NaN,NaN,265.020000,224.010000,232.010000,102.040000
NaN,NaN,264.950000,223.960000,232.010000,102.010000
NaN,NaN,264.990000,223.930000,232.020000,102.020000
NaN,NaN,265.000000,223.880000,232.050000,102.020000
NaN,NaN,265.010000,223.950000,232.010000,102.020000
NaN,NaN,265.080000,223.950000,232.020000,102.020000
NaN,NaN,265.020000,223.940000,232.020000,102.020000
NaN,NaN,264.960000,223.980000,232.040000,101.980000
NaN,NaN,264.980000,223.940000,232.050000,101.990000
NaN,NaN,264.980000,223.950000,232.030000,101.990000
NaN,NaN,265.010000,223.950000,232.020000,102.000000
NaN,NaN,265.020000,223.950000,232.020000,102.020000
NaN,NaN,265.050000,223.920000,232.020000,102.020000
NaN,NaN,265.020000,223.960000,232.020000,102.010000
NaN,NaN,264.990000,223.960000,232.020000,102.000000
NaN,NaN,265.010000,223.970000,232.040000,102.000000
