pt1_cam1_U,pt1_cam1_V,pt2_cam1_U,pt2_cam1_V,pt3_cam1_U,pt3_cam1_V
NaN,NaN,789.246504,126.270792,NaN,NaN
NaN,NaN,788.990000,125.990000,NaN,NaN
NaN,NaN,788.990000,125.980000,NaN,NaN
NaN,NaN,788.990000,125.970000,NaN,NaN
NaN,NaN,788.980000,125.980000,NaN,NaN
NaN,NaN,788.990000,125.980000,NaN,NaN
NaN,NaN,788.990000,125.980000,NaN,NaN
NaN,NaN,788.990000,125.990000,NaN,NaN
NaN,NaN,788.970000,125.980000,NaN,NaN
NaN,NaN,788.970000,125.980000,NaN,NaN
NaN,NaN,788.960000,125.980000,NaN,NaN
NaN,NaN,788.950000,125.990000,NaN,NaN
NaN,NaN,788.930000,125.990000,NaN,NaN
NaN,NaN,788.920000,125.990000,NaN,NaN
NaN,NaN,788.930000,125.980000,NaN,NaN
NaN,NaN,788.910000,125.980000,NaN,NaN
NaN,NaN,788.910000,125.990000,NaN,NaN
NaN,NaN,788.900000,125.980000,NaN,NaN
NaN,NaN,788.900000,125.990000,NaN,NaN
NaN,NaN,788.890000,126.020000,NaN,NaN
NaN,NaN,788.910000,125.990000,NaN,NaN
NaN,NaN,788.890000,126.000000,NaN,NaN
NaN,NaN,788.890000,126.000000,NaN,NaN
NaN,NaN,788.890000,126.010000,NaN,NaN
NaN,NaN,788.880000,126.010000,NaN,NaN
NaN,NaN,788.880000,126.000000,NaN,NaN
NaN,NaN,788.870000,126.000000,NaN,NaN
NaN,NaN,788.870000,125.990000,NaN,NaN
NaN,NaN,788.870000,125.980000,NaN,NaN
NaN,NaN,788.850000,125.980000,NaN,NaN
NaN,NaN,788.840000,126.060000,NaN,NaN
NaN,NaN,788.830000,126.010000,NaN,NaN
NaN,NaN,788.850000,125.990000,NaN,NaN
NaN,NaN,788.840000,125.990000,NaN,NaN
NaN,NaN,788.840000,125.990000,NaN,NaN
NaN,NaN,788.840000,125.990000,NaN,NaN
NaN,NaN,788.820000,126.010000,NaN,NaN
NaN,NaN,788.820000,126.010000,NaN,NaN
NaN,NaN,788.810000,126.000000,NaN,NaN
NaN,NaN,788.830000,125.980000,NaN,NaN
NaN,NaN,788.820000,126.010000,NaN,NaN
NaN,NaN,788.810000,126.010000,NaN,NaN
NaN,NaN,788.800000,126.000000,NaN,NaN
NaN,NaN,788.810000,126.000000,NaN,NaN
NaN,NaN,788.790000,126.010000,NaN,NaN
NaN,NaN,788.750000,126.010000,NaN,NaN
NaN,NaN,788.760000,126.000000,NaN,NaN
NaN,NaN,788.760000,126.000000,NaN,NaN
NaN,NaN,788.760000,126.000000,NaN,NaN
NaN,NaN,788.760000,126.000000,NaN,NaN
NaN,NaN,788.730000,126.020000,NaN,NaN
