"filename","species","individual","temperature","date","preystartdist","timeprojstart","maxproj","timemaxproj","peakprojvel","timemaxprojvel","peakprojacc","timemaxprojacc","peakmmsprojpower","timemaxprojpower","maxlunge","timemaxlunge","peaklungevel","timemaxlungevel","peaklungeacc","timemmaxlungeacc","peakbmslungepower","timemaxlungepower","maxreach","timemaxreach","tonguestartdist"
"Elu 002 (05) 03-Dec-24_18-53-49_00914xypts.csv","Elu","002","05","03-Dec-24","1.89488225051085","0.0203333333333333","5.26445701714686","0.0263333333333333","1.14","0.0233333333333333","1470","0.0206666666666667","561.444","0.0216666666666667","0.413461139977356","0.0796666666666667","0.0065","0.0703333333333333","2.505","0.055","0.00341874","0.0563333333333333","5.2765245297163","0.0263333333333333","1.89488225051085"
"Elu 002 (05) 03-Dec-24_18-58-12_00915xypts.csv","Elu","002","05","03-Dec-24","3.45110178881611","0.139666666666667","5.23956222519444","0.145333333333333","1.24","0.142","1713","0.14","704.6415","0.140666666666667","0.927559186846896","0.157666666666667","0.00529","0.114333333333333","1.326","0.2","0.0157287","0.188666666666667","6.05984866802863","0.145333333333333","3.60052289390516"
"Elu 002 (05) 03-Dec-24_18-59-58_00916xypts.csv","Elu","002","05","03-Dec-24","12.447504870922","0.478","7.33773125990052","0.484666666666667","1.64","0.481666666666667","1623","0.479333333333333","1046.76","0.480333333333333","4.6141946669778","0.557","0.00967","0.462333333333333","0.765","0.482666666666667","0.0049773","0.484333333333333","11.1267685825283","0.484666666666667","9.39886593132517"
"Elu 002 (05) 03-Dec-24_19-08-10_00918xypts.csv","Elu","002","05","03-Dec-24","8.93928284877001","0.0313333333333333","6.71476240093561","0.0413333333333333","1.22","0.0376666666666667","888","0.035","461.64678","0.036","2.36857639419519","0.133666666666667","0.00977","0.089","0.861","0.079","0.00526932","0.082","7.65399482523492","0.0416666666666667","8.53337106348777"
"Elu 002 (05) 05-Nov-24_19-06-55_00851xypts.csv","Elu","002","05","05-Nov-24","12.8303015446416","0.0826666666666667","7.79808697134364","0.0886666666666667","1.78","0.0853333333333333","2133","0.083","1308.3036","0.0836666666666667","1.58457125516447","0.123333333333333","0.0112","0.0766666666666667","2.052","0.152666666666667","0.01063104","0.0723333333333333","8.74618455694863","0.0886666666666667","12.0389533839924"
"Elu 002 (05) 08-Oct-24_18-10-30_00734xypts.csv","Elu","002","05","08-Oct-24","3.5978413654312","0.00366666666666667","5.48075340514572","0.0643333333333333","0.571","0.00966666666666667","435","0.007","103.70244","0.008","2.61304271788344","0.127333333333333","0.012","0.115","1.14","0.00666666666666667","0.00760242","0.00933333333333333","6.76623065882472","0.0756666666666667","3.59672893163854"
"Elu 002 (05) 08-Oct-24_18-14-31_00735xypts.csv","Elu","002","05","08-Oct-24","9.62032915577621","0.176333333333333","6.90349550906767","0.185333333333333","1.44","0.181666666666667","1503","0.179","785.57508","0.18","1.50169647212909","0.191666666666667","0.0227","0.0526666666666667","7.38","0.0443333333333333","0.0396111","0.0476666666666667","8.39505715424963","0.185333333333333","9.41546277494945"
"Elu 002 (05) 08-Oct-24_18-17-48_00736xypts.csv","Elu","002","05","08-Oct-24","3.65406808605673","0.276333333333333","6.0627407783164","0.284","1.15","0.28","1461","0.277","559.99647","0.278333333333333","4.60822589581765","0.366666666666667","0.0239","0.119666666666667","9.45","0.0863333333333333","0.0421056","0.0866666666666667","10.2295130791134","0.324333333333333","4.08240108368084"
"Elu 002 (05) 08-Oct-24_18-21-39_00737xypts.csv","Elu","002","05","08-Oct-24","10.5277408228891","0.274","8.87938028427202","0.281333333333333","1.81","0.277666666666667","1986","0.275333333333333","1325.835","0.276333333333333","0.702537824804841","0.290666666666667","0.0121","0.273333333333333","1.641","0.332","0.0109731","0.269666666666667","9.51885121447962","0.281333333333333","10.1467806916347"
"Elu 002 (05) 08-Oct-24_18-27-17_00739xypts.csv","Elu","002","05","08-Oct-24","8.3508870950551","0.346333333333333","6.76135866540956","0.352666666666667","1.19","0.349666666666667","1290","0.347333333333333","604.00065","0.348333333333333","6.25611353014373","0.431","0.0237","0.411666666666667","3.15","0.452666666666667","0.0653184","0.44","10.1494055782306","0.353","7.54714173607581"
"Elu 002 (10) 01-Oct-24_17-57-31_00703xypts.csv","Elu","002","10","01-Oct-24","9.16596739651736","0.300666666666667","8.67705674317355","0.309666666666667","1.58","0.306333333333333","1386","0.303666666666667","895.8582","0.304666666666667","1.53885437690677","0.372333333333333","0.00874","0.365666666666667","2.127","0.383333333333333","0.0341106","0.377","9.83467766091514","0.309666666666667","7.72154633536421"
"Elu 002 (10) 01-Oct-24_18-02-52_00704xypts.csv","Elu","002","10","01-Oct-24","10.5111173079764","0.0843333333333333","7.27736626344657","0.124333333333333","1.26","0.09","1029","0.088","571.1247","0.0886666666666667","1.04147990945749","0.197666666666667","0.0143","0.183","2.73","0.176333333333333","0.02061351","0.178666666666667","7.98770111568938","0.124333333333333","10.5023898274749"
"Elu 002 (10) 01-Oct-24_18-05-40_00705xypts.csv","Elu","002","10","01-Oct-24","9.1532620522402","0.467666666666667","8.39786435720184","0.476666666666667","1.5","0.472666666666667","1209","0.470333333333333","748.5798","0.471","1.93958983810805","0.518","0.0278","0.564333333333333","21.18","0.561","0.22896","0.562333333333333","9.52221193440386","0.498","9.1605036610737"
"Elu 002 (10) 01-Oct-24_18-09-25_00706xypts.csv","Elu","002","10","01-Oct-24","3.61301621720015","0.109333333333333","7.02568948263132","0.117666666666667","1.34","0.114","1134","0.111666666666667","632.1735","0.112333333333333","1.46350147819901","0.184666666666667","0.0193","0.146666666666667","2.226","0.139666666666667","0.0273504","0.142333333333333","7.20579454694256","0.117666666666667","4.08879448869658"
"Elu 002 (10) 01-Oct-24_18-11-27_00707xypts.csv","Elu","002","10","01-Oct-24","13.9730924690472","0.348333333333333","9.44441266728966","0.356666666666667","1.82","0.353","3210","0.348666666666667","1222.7145","0.350666666666667","2.47883653694025","0.45","0.0554","0.446","6.84","0.44","0.2496","0.442","11.7257493597345","0.356666666666667","11.368246143355"
"Elu 002 (10) 01-Oct-24_18-14-09_00708xypts.csv","Elu","002","10","01-Oct-24","15.5217320719709","0.487333333333333","8.13670720753368","0.496666666666667","1.56","0.493333333333333","1215","0.491","823.6464","0.491666666666667","4.73483641952986","0.498333333333333","0.0207","0.482666666666667","0.828","0.531333333333333","0.01613292","0.502666666666667","12.8621230457896","0.496666666666667","12.0524948063285"
"Elu 002 (10) 01-Oct-24_18-17-31_00709xypts.csv","Elu","002","10","01-Oct-24","8.2973895968164","0.406666666666667","6.97384665522871","0.413","1.47","0.409666666666667","1689","0.407","857.538","0.408","1.36334839371197","0.467666666666667","0.024","0.442333333333333","11.55","0.437666666666667","0.111756","0.438666666666667","7.50093063100979","0.413","8.00277587502618"
"Elu 002 (15) 15-Oct-24_17_44_52_00770xypts.csv","Elu","002","15","15-Oct-24","1.94640887915017","0.36","6.56985937840105","0.367","1.46","0.363666666666667","2721","0.360333333333333","892.26225","0.361666666666667","3.77050703253309","0.413333333333333","0.0288","0.395","3.63","0.353666666666667","0.065835","0.356","8.07603867515691","0.392","2.16026088325006"
"Elu 002 (15) 15-Oct-24_17_44_52_00771xypts.csv","Elu","002","15","15-Oct-24","5.63047328929733","0.416","6.82782487362554","0.423666666666667","1.33","0.420333333333333","1335","0.418","717.4149","0.418666666666667","3.21892018745709","0.449333333333333","0.0107","0.404333333333333","2.463","0.468","0.0602547","0.455666666666667","9.64780025800206","0.424","3.27277181984762"
"Elu 002 (15) 15-Oct-24_17-51-08_00772xypts.csv","Elu","002","15","15-Oct-24","10.65724751716","0.449666666666667","8.46157802922142","0.463","1.67","0.459666666666667","1899","0.45","1105.6128","0.458333333333333","2.41480685609815","0.506333333333333","0.0174","0.450666666666667","1.494","0.49","0.0158802","0.445","10.6849522839084","0.463","9.6901225667824"
