pt1_cam1_U,pt1_cam1_V,pt2_cam1_U,pt2_cam1_V,pt3_cam1_U,pt3_cam1_V
NaN,NaN,NaN,NaN,683.097965,648.719581
NaN,NaN,NaN,NaN,683.000000,649.000000
NaN,NaN,NaN,NaN,683.000000,648.990000
NaN,NaN,NaN,NaN,683.000000,648.990000
NaN,NaN,NaN,NaN,683.000000,648.990000
NaN,NaN,NaN,NaN,682.990000,648.990000
NaN,NaN,NaN,NaN,683.000000,648.990000
NaN,NaN,NaN,NaN,683.000000,648.990000
NaN,NaN,NaN,NaN,683.000000,648.990000
NaN,NaN,NaN,NaN,682.990000,648.980000
NaN,NaN,NaN,NaN,683.000000,648.970000
NaN,NaN,NaN,NaN,683.000000,648.980000
NaN,NaN,NaN,NaN,683.000000,648.970000
NaN,NaN,NaN,NaN,683.000000,648.970000
NaN,NaN,NaN,NaN,683.000000,648.960000
NaN,NaN,NaN,NaN,682.990000,648.940000
NaN,NaN,NaN,NaN,682.990000,648.950000
NaN,NaN,NaN,NaN,682.980000,648.950000
NaN,NaN,NaN,NaN,682.990000,648.930000
NaN,NaN,NaN,NaN,682.990000,648.930000
NaN,NaN,NaN,NaN,682.990000,648.920000
NaN,NaN,NaN,NaN,683.000000,648.910000
NaN,NaN,NaN,NaN,683.000000,648.910000
NaN,NaN,NaN,NaN,682.990000,648.930000
NaN,NaN,NaN,NaN,682.990000,648.930000
NaN,NaN,NaN,NaN,682.990000,648.930000
NaN,NaN,NaN,NaN,682.990000,648.920000
NaN,NaN,NaN,NaN,682.990000,648.920000
NaN,NaN,NaN,NaN,682.990000,648.920000
NaN,NaN,NaN,NaN,683.000000,648.920000
NaN,NaN,NaN,NaN,683.010000,648.890000
NaN,NaN,NaN,NaN,683.000000,648.890000
NaN,NaN,NaN,NaN,683.010000,648.900000
NaN,NaN,NaN,NaN,683.010000,648.890000
NaN,NaN,NaN,NaN,683.000000,648.900000
NaN,NaN,NaN,NaN,683.000000,648.900000
NaN,NaN,NaN,NaN,683.010000,648.910000
NaN,NaN,NaN,NaN,683.010000,648.890000
NaN,NaN,NaN,NaN,683.010000,648.900000
NaN,NaN,NaN,NaN,683.010000,648.900000
NaN,NaN,NaN,NaN,683.010000,648.900000
NaN,NaN,NaN,NaN,683.000000,648.910000
NaN,NaN,NaN,NaN,683.010000,648.900000
NaN,NaN,NaN,NaN,683.000000,648.900000
NaN,NaN,NaN,NaN,683.010000,648.910000
NaN,NaN,NaN,NaN,683.010000,648.930000
NaN,NaN,NaN,NaN,683.010000,648.920000
NaN,NaN,NaN,NaN,683.010000,648.920000
NaN,NaN,NaN,NaN,683.020000,648.930000
NaN,NaN,NaN,NaN,683.020000,648.930000
NaN,NaN,NaN,NaN,683.030000,648.920000
NaN,NaN,NaN,NaN,683.040000,648.920000
NaN,NaN,NaN,NaN,683.040000,648.920000
NaN,NaN,NaN,NaN,683.040000,648.910000
NaN,NaN,NaN,NaN,683.050000,648.910000
NaN,NaN,NaN,NaN,683.050000,648.920000
NaN,NaN,NaN,NaN,683.060000,648.910000
NaN,NaN,NaN,NaN,683.070000,648.910000
NaN,NaN,NaN,NaN,683.070000,648.900000
NaN,NaN,NaN,NaN,683.070000,648.900000
NaN,NaN,NaN,NaN,683.090000,648.870000
NaN,NaN,NaN,NaN,683.090000,648.870000
NaN,NaN,NaN,NaN,683.100000,648.870000
NaN,NaN,NaN,NaN,683.110000,648.870000
NaN,NaN,NaN,NaN,683.110000,648.880000
NaN,NaN,NaN,NaN,683.110000,648.860000
NaN,NaN,NaN,NaN,683.130000,648.860000
NaN,NaN,NaN,NaN,683.130000,648.850000
NaN,NaN,NaN,NaN,683.140000,648.860000
NaN,NaN,NaN,NaN,683.150000,648.850000
NaN,NaN,NaN,NaN,683.170000,648.830000
NaN,NaN,NaN,NaN,683.170000,648.820000
NaN,NaN,NaN,NaN,683.180000,648.820000
NaN,NaN,NaN,NaN,683.190000,648.820000
NaN,NaN,NaN,NaN,683.200000,648.820000
NaN,NaN,NaN,NaN,683.230000,648.800000
NaN,NaN,NaN,NaN,683.240000,648.790000
NaN,NaN,NaN,NaN,683.250000,648.790000
NaN,NaN,NaN,NaN,683.240000,648.770000
NaN,NaN,NaN,NaN,683.240000,648.760000
NaN,NaN,NaN,NaN,683.250000,648.750000
NaN,NaN,NaN,NaN,683.260000,648.750000
NaN,NaN,NaN,NaN,683.270000,648.740000
NaN,NaN,NaN,NaN,683.260000,648.730000
NaN,NaN,NaN,NaN,683.250000,648.730000
NaN,NaN,NaN,NaN,683.260000,648.710000
NaN,NaN,NaN,NaN,683.260000,648.670000
NaN,NaN,NaN,NaN,683.250000,648.660000
NaN,NaN,NaN,NaN,683.270000,648.640000
NaN,NaN,NaN,NaN,683.280000,648.620000
NaN,NaN,NaN,NaN,683.300000,648.640000
NaN,NaN,NaN,NaN,683.290000,648.660000
NaN,NaN,NaN,NaN,683.300000,648.640000
NaN,NaN,NaN,NaN,683.320000,648.630000
NaN,NaN,NaN,NaN,683.300000,648.610000
NaN,NaN,NaN,NaN,683.300000,648.580000
NaN,NaN,NaN,NaN,683.300000,648.570000
NaN,NaN,NaN,NaN,683.290000,648.560000
NaN,NaN,NaN,NaN,683.310000,648.540000
NaN,NaN,NaN,NaN,683.300000,648.520000
NaN,NaN,NaN,NaN,683.290000,648.490000
NaN,NaN,NaN,NaN,683.290000,648.320000
NaN,NaN,NaN,NaN,683.280000,648.320000
NaN,NaN,NaN,NaN,683.280000,648.290000
NaN,NaN,NaN,NaN,683.290000,648.280000
NaN,NaN,NaN,NaN,683.240000,648.240000
NaN,NaN,NaN,NaN,683.230000,648.240000
NaN,NaN,NaN,NaN,683.230000,648.240000
NaN,NaN,NaN,NaN,683.220000,648.230000
NaN,NaN,NaN,NaN,683.220000,648.230000
NaN,NaN,NaN,NaN,683.210000,648.230000
NaN,NaN,NaN,NaN,683.210000,648.230000
NaN,NaN,NaN,NaN,683.210000,648.240000
NaN,NaN,NaN,NaN,683.200000,648.240000
NaN,NaN,NaN,NaN,683.160000,648.240000
NaN,NaN,NaN,NaN,683.170000,648.250000
NaN,NaN,NaN,NaN,683.160000,648.260000
NaN,NaN,NaN,NaN,683.160000,648.250000
NaN,NaN,NaN,NaN,683.160000,648.270000
NaN,NaN,NaN,NaN,683.170000,648.280000
NaN,NaN,NaN,NaN,683.170000,648.340000
NaN,NaN,NaN,NaN,683.170000,648.350000
NaN,NaN,NaN,NaN,683.170000,648.360000
NaN,NaN,NaN,NaN,683.170000,648.370000
NaN,NaN,NaN,NaN,683.180000,648.390000
NaN,NaN,NaN,NaN,683.200000,648.420000
NaN,NaN,NaN,NaN,683.210000,648.450000
NaN,NaN,NaN,NaN,683.240000,648.500000
NaN,NaN,NaN,NaN,683.230000,648.670000
NaN,NaN,NaN,NaN,683.230000,648.690000
NaN,NaN,NaN,NaN,683.250000,648.730000
NaN,NaN,NaN,NaN,683.260000,648.770000
NaN,NaN,NaN,NaN,683.280000,648.810000
NaN,NaN,NaN,NaN,683.300000,648.830000
NaN,NaN,NaN,NaN,683.340000,648.880000
NaN,NaN,NaN,NaN,683.390000,648.960000
NaN,NaN,NaN,NaN,683.410000,648.970000
NaN,NaN,NaN,NaN,683.450000,648.980000
NaN,NaN,NaN,NaN,683.470000,648.990000
NaN,NaN,NaN,NaN,683.500000,649.010000
NaN,NaN,NaN,NaN,684.020000,649.020000
NaN,NaN,NaN,NaN,684.040000,649.040000
NaN,NaN,NaN,NaN,684.060000,649.090000
NaN,NaN,NaN,NaN,684.080000,649.100000
NaN,NaN,NaN,NaN,684.110000,649.120000
NaN,NaN,NaN,NaN,684.130000,649.150000
NaN,NaN,NaN,NaN,684.160000,649.180000
NaN,NaN,NaN,NaN,684.210000,649.220000
NaN,NaN,NaN,NaN,684.230000,649.250000
NaN,NaN,NaN,NaN,684.270000,649.310000
NaN,NaN,NaN,NaN,684.290000,649.410000
NaN,NaN,NaN,NaN,684.280000,649.580000
NaN,NaN,NaN,NaN,684.330000,649.620000
NaN,NaN,NaN,NaN,684.350000,649.660000
NaN,NaN,NaN,NaN,684.370000,649.690000
NaN,NaN,NaN,NaN,684.390000,649.730000
NaN,NaN,NaN,NaN,684.430000,649.750000
NaN,NaN,NaN,NaN,684.450000,649.790000
NaN,NaN,NaN,NaN,684.480000,649.800000
NaN,NaN,NaN,NaN,685.050000,649.810000
NaN,NaN,NaN,NaN,685.640000,649.800000
NaN,NaN,NaN,NaN,685.670000,649.820000
NaN,NaN,NaN,NaN,685.710000,649.840000
NaN,NaN,NaN,NaN,685.740000,649.860000
NaN,NaN,NaN,NaN,685.750000,649.900000
NaN,NaN,NaN,NaN,685.800000,649.930000
NaN,NaN,NaN,NaN,685.800000,649.930000
NaN,NaN,NaN,NaN,685.810000,649.940000
NaN,NaN,NaN,NaN,685.840000,649.950000
NaN,NaN,NaN,NaN,685.860000,649.970000
NaN,NaN,NaN,NaN,685.880000,649.980000
NaN,NaN,NaN,NaN,685.910000,649.990000
NaN,NaN,NaN,NaN,685.920000,650.010000
NaN,NaN,NaN,NaN,685.950000,650.030000
NaN,NaN,NaN,NaN,685.950000,650.040000
NaN,NaN,NaN,NaN,685.980000,650.050000
NaN,NaN,NaN,NaN,685.990000,650.070000
NaN,NaN,NaN,NaN,686.010000,650.080000
NaN,NaN,NaN,NaN,686.030000,650.080000
NaN,NaN,NaN,NaN,686.030000,650.090000
NaN,NaN,NaN,NaN,686.090000,650.110000
NaN,NaN,NaN,NaN,686.070000,650.110000
NaN,NaN,NaN,NaN,686.090000,650.120000
NaN,NaN,NaN,NaN,686.100000,650.120000
NaN,NaN,NaN,NaN,686.100000,650.140000
