pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,625.180139,409.047184
NaN,NaN,NaN,NaN,625.000000,408.990000
NaN,NaN,NaN,NaN,625.010000,408.990000
NaN,NaN,NaN,NaN,625.000000,408.980000
NaN,NaN,NaN,NaN,625.000000,408.970000
NaN,NaN,NaN,NaN,624.990000,408.970000
NaN,NaN,NaN,NaN,624.990000,408.960000
NaN,NaN,NaN,NaN,625.000000,408.960000
NaN,NaN,NaN,NaN,625.000000,408.950000
NaN,NaN,NaN,NaN,625.000000,408.950000
NaN,NaN,NaN,NaN,624.990000,408.940000
NaN,NaN,NaN,NaN,625.010000,408.930000
NaN,NaN,NaN,NaN,624.990000,408.920000
NaN,NaN,NaN,NaN,625.000000,408.920000
NaN,NaN,NaN,NaN,625.180139,408.064004
NaN,NaN,NaN,NaN,626.067463,405.114464
NaN,NaN,NaN,NaN,626.240000,404.290000
NaN,NaN,NaN,NaN,626.270000,404.230000
NaN,NaN,NaN,NaN,626.010000,404.380000
NaN,NaN,NaN,NaN,626.010000,404.370000
NaN,NaN,NaN,NaN,626.020000,404.350000
NaN,NaN,NaN,NaN,626.030000,404.360000
NaN,NaN,NaN,NaN,626.030000,404.360000
NaN,NaN,NaN,NaN,626.040000,404.360000
NaN,NaN,NaN,NaN,626.040000,404.350000
NaN,NaN,NaN,NaN,626.060000,404.300000
NaN,NaN,NaN,NaN,626.070000,404.310000
NaN,NaN,NaN,NaN,626.060000,404.300000
NaN,NaN,NaN,NaN,626.060000,404.300000
NaN,NaN,NaN,NaN,626.100000,404.280000
NaN,NaN,NaN,NaN,626.080000,404.280000
