pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,179.873308,355.747055,NaN,NaN
NaN,NaN,180.010000,355.980000,NaN,NaN
NaN,NaN,180.010000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,180.010000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.960000,NaN,NaN
NaN,NaN,179.990000,355.970000,NaN,NaN
NaN,NaN,180.000000,355.960000,NaN,NaN
NaN,NaN,180.000000,355.970000,NaN,NaN
NaN,NaN,180.000000,355.970000,NaN,NaN
NaN,NaN,179.980000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,180.000000,355.980000,NaN,NaN
NaN,NaN,180.000000,355.970000,NaN,NaN
NaN,NaN,180.000000,355.970000,NaN,NaN
NaN,NaN,179.980000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,180.000000,355.970000,NaN,NaN
NaN,NaN,180.000000,355.970000,NaN,NaN
NaN,NaN,180.000000,355.980000,NaN,NaN
NaN,NaN,180.000000,355.970000,NaN,NaN
NaN,NaN,180.000000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.960000,NaN,NaN
NaN,NaN,179.990000,355.970000,NaN,NaN
NaN,NaN,180.000000,355.960000,NaN,NaN
NaN,NaN,180.000000,355.950000,NaN,NaN
NaN,NaN,179.990000,355.960000,NaN,NaN
NaN,NaN,179.980000,355.960000,NaN,NaN
NaN,NaN,179.990000,355.960000,NaN,NaN
NaN,NaN,179.990000,355.960000,NaN,NaN
NaN,NaN,180.000000,355.960000,NaN,NaN
NaN,NaN,179.980000,355.970000,NaN,NaN
NaN,NaN,179.990000,355.950000,NaN,NaN
NaN,NaN,179.980000,355.960000,NaN,NaN
NaN,NaN,179.990000,355.960000,NaN,NaN
NaN,NaN,179.980000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.970000,NaN,NaN
NaN,NaN,179.990000,355.960000,NaN,NaN
NaN,NaN,179.990000,355.960000,NaN,NaN
NaN,NaN,179.990000,355.960000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.960000,NaN,NaN
NaN,NaN,180.000000,355.970000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.980000,355.990000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.990000,NaN,NaN
NaN,NaN,180.000000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.980000,355.990000,NaN,NaN
NaN,NaN,179.990000,355.970000,NaN,NaN
NaN,NaN,179.990000,355.970000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.980000,355.980000,NaN,NaN
NaN,NaN,179.980000,355.980000,NaN,NaN
NaN,NaN,179.980000,355.970000,NaN,NaN
NaN,NaN,179.970000,355.960000,NaN,NaN
NaN,NaN,179.970000,355.990000,NaN,NaN
NaN,NaN,179.960000,355.980000,NaN,NaN
NaN,NaN,179.970000,355.980000,NaN,NaN
NaN,NaN,179.980000,355.970000,NaN,NaN
NaN,NaN,179.970000,355.970000,NaN,NaN
NaN,NaN,179.980000,355.970000,NaN,NaN
NaN,NaN,179.980000,355.980000,NaN,NaN
NaN,NaN,179.980000,355.970000,NaN,NaN
NaN,NaN,179.980000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.980000,355.970000,NaN,NaN
NaN,NaN,179.980000,355.970000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
NaN,NaN,179.970000,355.970000,NaN,NaN
NaN,NaN,179.980000,355.980000,NaN,NaN
NaN,NaN,179.970000,355.990000,NaN,NaN
NaN,NaN,179.980000,355.980000,NaN,NaN
NaN,NaN,179.980000,355.960000,NaN,NaN
NaN,NaN,179.970000,355.960000,NaN,NaN
NaN,NaN,179.970000,355.980000,NaN,NaN
NaN,NaN,179.980000,355.960000,NaN,NaN
NaN,NaN,179.980000,355.970000,NaN,NaN
NaN,NaN,179.980000,355.970000,NaN,NaN
NaN,NaN,179.980000,355.980000,NaN,NaN
NaN,NaN,179.980000,355.960000,NaN,NaN
NaN,NaN,179.970000,355.990000,NaN,NaN
NaN,NaN,179.970000,355.990000,NaN,NaN
NaN,NaN,179.960000,355.970000,NaN,NaN
NaN,NaN,179.990000,355.980000,NaN,NaN
