pt1_cam1_U,pt1_cam1_V,pt2_cam1_U,pt2_cam1_V,pt3_cam1_U,pt3_cam1_V
NaN,NaN,841.440453,251.280773,746.904879,228.864984
NaN,NaN,841.010000,250.990000,746.980000,228.990000
NaN,NaN,841.000000,250.970000,746.980000,229.000000
NaN,NaN,840.990000,250.990000,746.990000,229.000000
NaN,NaN,841.000000,251.000000,746.980000,228.990000
NaN,NaN,840.970000,250.980000,747.000000,228.990000
NaN,NaN,840.990000,250.990000,747.000000,228.990000
NaN,NaN,841.000000,250.980000,747.000000,228.990000
NaN,NaN,840.980000,250.990000,747.000000,229.010000
NaN,NaN,841.000000,251.000000,747.010000,229.010000
NaN,NaN,840.990000,250.980000,747.020000,229.000000
NaN,NaN,840.970000,250.970000,747.020000,229.020000
NaN,NaN,840.950000,250.970000,747.020000,229.010000
NaN,NaN,840.950000,250.980000,747.000000,229.010000
NaN,NaN,840.980000,250.950000,747.010000,229.010000
NaN,NaN,840.980000,251.010000,747.010000,229.020000
NaN,NaN,840.980000,250.970000,746.990000,228.990000
NaN,NaN,840.970000,251.000000,746.990000,229.000000
NaN,NaN,840.960000,251.020000,747.010000,229.000000
NaN,NaN,840.990000,251.010000,747.020000,228.990000
NaN,NaN,840.960000,251.000000,746.904879,228.864984
NaN,NaN,840.980000,250.990000,746.990000,229.010000
NaN,NaN,840.980000,250.960000,746.970000,229.000000
NaN,NaN,840.970000,250.980000,746.990000,228.990000
NaN,NaN,840.950000,250.970000,746.990000,229.010000
NaN,NaN,840.970000,250.970000,747.030000,229.000000
NaN,NaN,840.970000,250.970000,747.020000,229.010000
NaN,NaN,840.970000,250.980000,747.020000,229.000000
NaN,NaN,840.950000,250.990000,747.020000,228.980000
NaN,NaN,840.950000,250.980000,747.030000,228.980000
NaN,NaN,840.910000,250.940000,746.904879,228.864984
NaN,NaN,840.940000,250.960000,746.990000,229.020000
NaN,NaN,840.910000,250.950000,747.000000,229.020000
NaN,NaN,840.940000,250.960000,747.010000,229.020000
NaN,NaN,840.950000,250.980000,747.030000,229.010000
NaN,NaN,840.940000,250.990000,747.030000,229.020000
NaN,NaN,840.950000,250.970000,747.050000,229.010000
NaN,NaN,840.980000,250.990000,747.050000,229.020000
NaN,NaN,840.950000,250.990000,747.070000,229.030000
NaN,NaN,840.940000,250.990000,747.050000,229.020000
NaN,NaN,840.950000,250.990000,747.050000,229.030000
NaN,NaN,840.960000,251.020000,747.060000,229.020000
NaN,NaN,840.940000,250.970000,747.060000,229.040000
NaN,NaN,840.930000,250.990000,747.070000,229.050000
NaN,NaN,840.960000,250.970000,746.904879,228.864984
NaN,NaN,840.950000,251.010000,746.904879,228.864984
NaN,NaN,840.940000,251.000000,747.010000,228.990000
NaN,NaN,840.930000,251.010000,746.904879,228.864984
NaN,NaN,840.930000,250.990000,746.980000,229.010000
NaN,NaN,840.930000,250.990000,746.904879,228.864984
NaN,NaN,840.920000,250.980000,747.010000,229.010000
NaN,NaN,840.950000,250.970000,747.020000,229.010000
NaN,NaN,840.960000,250.940000,747.006421,229.129737
NaN,NaN,840.980000,250.970000,746.980000,229.010000
NaN,NaN,840.970000,250.950000,746.980000,229.010000
NaN,NaN,840.950000,250.960000,747.000000,229.040000
NaN,NaN,840.960000,250.940000,747.010000,229.030000
NaN,NaN,840.950000,250.930000,747.020000,229.050000
NaN,NaN,840.980000,250.930000,747.020000,229.060000
NaN,NaN,840.970000,250.980000,747.006421,229.041486
NaN,NaN,840.910000,250.950000,747.020000,229.010000
NaN,NaN,840.910000,250.970000,747.010000,229.010000
