"filename","species","individual","temperature","date","preystartdist","timeprojstart","maxproj","timemaxproj","peakprojvel","timemaxprojvel","peakprojacc","timemaxprojacc","peakmmsprojpower","timemaxprojpower","maxlunge","timemaxlunge","peaklungevel","timemaxlungevel","peaklungeacc","timemmaxlungeacc","peakbmslungepower","timemaxlungepower","maxreach","timemaxreach","tonguestartdist"
"Pm 001 (05) 06-Aug-24_17-28-16_00573xypts.csv","Pm","001","05","06-Aug-24","12.2050314547215","0.208333333333333","6.7597063694909","0.278","0.278","0.223333333333333","408","0.208666666666667","12.1846206","0.210333333333333","8.56717206757641","0.270666666666667","0.067","0.256666666666667","5.85","0.178666666666667","0.27825","0.252","15.2944351111507","0.271666666666667","10.1416901313243"
"Pm 001 (05) 06-Aug-24_17-32-05_00574xypts.csv","Pm","001","05","06-Aug-24","14.5843724659964","0.102333333333333","6.67412504221225","0.187333333333333","0.321","0.129666666666667","474","0.102666666666667","19.363962","0.103333333333333","11.3837321481905","0.184666666666667","0.0759","0.119","7.35","0.112333333333333","0.387192","0.114333333333333","18.0455309288584","0.187333333333333","12.1949135243886"
"Pm 001 (05) 06-Aug-24_17-37-27_00575xypts.csv","Pm","001","05","06-Aug-24","7.82048763369636","0.0786666666666667","5.43953819522694","0.154666666666667","0.306","0.082","489","0.079","21.222078","0.0806666666666667","7.18488567259258","0.178333333333333","0.0301","0.129666666666667","1.347","0.0503333333333333","0.0178605","0.0526666666666667","12.1565386435077","0.156","6.29359166237891"
"Pm 001 (05) 06-Aug-24_17-50-28_00577xypts.csv","Pm","001","05","06-Aug-24","12.7284016435922","0.0583333333333333","6.83560968232858","0.126333333333333","0.181","0.061","354","0.0586666666666667","7.9986243","0.059","6.52651672592836","0.169","0.0283","0.0933333333333333","1.137","0.065","0.016956","0.0666666666666667","12.4338470460419","0.139","11.6624487455138"
"Pm 001 (10) 23-Sep-24_18_27_21_00658xypts.csv","Pm","001","10","23-Sep-24","11.5925356545721","0.161","6.41323179207954","0.238333333333333","0.183","0.163","327","0.161333333333333","14.000688","0.194333333333333","8.16439351871507","0.231","0.0437","0.187333333333333","1.38","0.173666666666667","0.0473124","0.176","14.5339039714778","0.238333333333333","8.62745610312355"
"Pm 001 (10) 23-Sep-24_18-24-26_00657xypts.csv","Pm","001","10","23-Sep-24","8.14905118187369","0.275333333333333","6.58456329551834","0.349333333333333","0.24","0.277","240.9","0.275666666666667","12.8120256","0.275666666666667","4.80200933078678","0.359333333333333","0.0424","0.330666666666667","3.66","0.293333333333333","0.062604","0.325666666666667","11.2124254440199","0.349666666666667","8.28649564843654"
"Pm 001 (10) 23-Sep-24_18-30-02_00659xypts.csv","Pm","001","10","23-Sep-24","9.42336684154176","0.137","5.84502763468015","0.216666666666667","0.224","0.141333333333333","259.8","0.147666666666667","9.5889921","0.14","8.94976427412129","0.223333333333333","0.049","0.190333333333333","1.533","0.253666666666667","0.0522732","0.231333333333333","14.7650314643681","0.216666666666667","7.20965170388176"
"Pm 001 (10) 23-Sep-24_18-32-16_00660xypts.csv","Pm","001","10","23-Sep-24","15.0489895494067","0.0916666666666667","6.97066405617932","0.17","0.224","0.093","384","0.092","17.01888","0.092","17.4928550834217","0.213333333333333","0.0991","0.155","6.54","0.115666666666667","0.295665","0.148666666666667","22.3862361733754","0.201333333333333","14.6123272030104"
"Pm 001 (15) 14-Oct-24_18-58-21_00762xypts.csv","Pm","001","15","14-Oct-24","19.323275979017","0.0466666666666667","6.96842644113586","0.101","0.22","0.0783333333333333","235.2","0.047","8.0538858","0.077","13.00343508678","0.105333333333333","0.0731","0.0703333333333333","2.112","0.0216666666666667","0.086496","0.0643333333333333","19.9386362185244","0.101666666666667","15.4739171049573"
"Pm 001 (15) 14-Oct-24_19-03-31_00764xypts.csv","Pm","001","15","14-Oct-24","17.6216411776779","0.175333333333333","7.23602732665149","0.239666666666667","0.235","0.179666666666667","278.7","0.177666666666667","11.383038","0.178333333333333","9.35123754040526","0.243333333333333","0.0468","0.199","2.514","0.281666666666667","0.04029","0.192","16.561849351343","0.24","14.5885598004038"
"Pm 001 (15) 14-Oct-24_19-10-57_00766xypts.csv","Pm","001","15","14-Oct-24","15.2757546660011","0.102666666666667","6.5066089081912","0.152666666666667","0.267","0.107","378","0.103666666666667","14.0567805","0.105","10.7449898585738","0.154","0.072","0.123333333333333","2.13","0.182666666666667","0.114432","0.116333333333333","17.2487573255569","0.153","11.4956218290825"
"Pm 001 (15) 15-Jul-24_17-41-32_00447xypts.csv","Pm","001","15","15-Jul-24","11.4404015547237","0.369666666666667","6.11249324208408","0.421333333333333","0.312","0.379333333333333","250.2","0.37","13.396551","0.377666666666667","7.55165031689442","0.428","0.0622","0.399","3.9","0.445666666666667","0.1167408","0.392333333333333","13.5266401464782","0.422333333333333","10.6876412691837"
"Pm 001 (15) 15-Jul-24_17-48-35_00450xypts.csv","Pm","001","15","15-Jul-24","14.3617639011977","0.025","6.31140548975926","0.0806666666666667","0.207","0.0263333333333333","306","0.0253333333333333","13.307634","0.0253333333333333","9.07139433711406","0.0746666666666667","0.0581","0.0436666666666667","3.15","0.00433333333333333","0.0992592","0.009","15.320950194083","0.0803333333333333","11.5699488535679"
"Pm 001 (20) 08-Jul-24_18_17_06_00391xypts.csv","Pm","001","20","08-Jul-24","12.0857461943262","0.0206666666666667","6.3178969741146","0.0696666666666667","0.246","0.0236666666666667","351","0.021","12.0905514","0.022","7.32042486430028","0.0953333333333333","0.0394","0.0486666666666667","3.69","0.000666666666666667","0.08757","0.00333333333333333","13.2993472839389","0.0703333333333333","10.2820985263356"
"Pm 001 (20) 08-Jul-24_18-19-48_00392xypts.csv","Pm","001","20","08-Jul-24","11.7359378460037","0.0513333333333333","6.90703168066451","0.101333333333333","0.375","0.0556666666666667","612","0.0523333333333333","28.150125","0.054","7.6888714247711","0.117","0.0514","0.0756666666666667","3.03","0.0116666666666667","0.0572832","0.0653333333333333","14.4623224796983","0.101","9.8055793546697"
"Pm 001 (20) 08-Jul-24_18-22-07_00393xypts.csv","Pm","001","20","08-Jul-24","10.2211729920195","0.0916666666666667","5.52190374960012","0.124666666666667","0.355","0.114333333333333","285.9","0.092","16.2969072","0.112333333333333","6.72473046090497","0.139666666666667","0.0467","0.104333333333333","2.088","0.07","0.0578976","0.0723333333333333","11.9919501094145","0.131333333333333","7.55679098720258"
"Pm 001 (20) 08-Jul-24_18-26-04_00394xypts.csv","Pm","001","20","08-Jul-24","13.4528684256577","0.146","6.76861124533394","0.191666666666667","0.304","0.153","199.2","0.146333333333333","10.2282804","0.151666666666667","8.71081582260569","0.203","0.0474","0.172333333333333","1.509","0.219","0.041499","0.166333333333333","15.2023912899249","0.192333333333333","9.96869299992534"
"Pm 001 (25) 22-Jul-24_18_06_51_00513xypts.csv","Pm","001","25","22-Jul-24","8.25893503522467","0.013","6.60209724995233","0.0513333333333333","0.297","0.017","411","0.0133333333333333","15.1514568","0.015","4.74029914452789","0.061","0.0376","0.029","2.394","0.000333333333333333","0.040602","0.003","11.1415805761601","0.0516666666666667","7.34667276465205"
"Pm 001 (25) 22-Jul-24_18_08_37_00514xypts.csv","Pm","001","25","22-Jul-24","17.6884578103158","0.312","8.46412524998103","0.357333333333333","0.353","0.342333333333333","654","0.312333333333333","25.259076","0.313","8.12480194806474","0.356","0.0624","0.327333333333333","2.364","0.297666666666667","0.0757185","0.301333333333333","16.5849837040539","0.357","16.8742645764476"
"Pm 001 (25) 22-Jul-24_18-02-55_00511xypts.csv","Pm","001","25","22-Jul-24","13.7050435415092","0.0233333333333333","6.53785882574906","0.0626666666666667","0.339","0.0286666666666667","429","0.0256666666666667","21.034272","0.0266666666666667","7.10914328209902","0.0773333333333333","0.0531","0.0466666666666667","2.457","0.00266666666666667","0.0839157","0.0383333333333333","13.0561999818032","0.0653333333333333","12.2795881554922"
"Pm 001 (25) 22-Jul-24_18-04-47_00512xypts.csv","Pm","001","25","22-Jul-24","11.1436829283814","0.0343333333333333","7.14421073365593","0.07","0.5","0.038","885","0.0346666666666667","54.27261","0.0363333333333333","5.17296320325881","0.073","0.0394","0.044","2.16","0.09","0.0472464","0.0816666666666667","12.2940714449809","0.07","9.07547106524419"
